countries,movie_count,average_score
Brazil,1,8.6
Iran,2,8.25
New Zealand,13,7.861538461538462
Slovakia,1,7.8
Pakistan,1,7.7
Sweden,10,7.62
Italy,23,7.578260869565218
Indonesia,3,7.466666666666666
South Korea,17,7.347058823529411
Japan,46,7.23695652173913
Mexico,7,7.214285714285714
South Africa,4,7.125
Norway,7,7.114285714285714
Ireland,18,7.094444444444445
Spain,21,7.038095238095239
Denmark,16,7.025
Netherlands,9,6.966666666666667
Sri Lanka,1,6.9
India,11,6.881818181818182
Belgium,3,6.866666666666667
China,40,6.859999999999999
France,75,6.849333333333334
United Kingdom,385,6.831428571428571
Germany,60,6.725
Austria,1,6.7
Australia,41,6.658536585365853
Switzerland,5,6.640000000000001
Poland,5,6.62
United States,2403,6.597503121098627
Unknown,1670,6.5802395209580835
Finland,8,6.575
Iceland,1,6.5
Singapore,5,6.4799999999999995
Turkey,1,6.4
Philippines,1,6.3
Ukraine,1,6.3
Morocco,1,6.3
Canada,62,6.253225806451613
Chile,2,6.25
Czechia,5,6.0
Thailand,2,6.0
Georgia,1,5.9
Russia,2,5.800000000000001
Hungary,1,5.4
